ID,Name,Description,Contributor,Citation,Glottocode,Year,Source,Media_IDs,Type,Map_IDs,URL
lsi-v1-1-059,vol I map II,Map indicating the localities in which Austro-Asiatic and Pronominalised Himalayan Languages are spoken in India,,,,,grierson1903lsi;llmap,lsi-v1-1-059_tif lsi-v1-1-059_jpg lsi-v1-1-059_geojson,map,,https://dsal.uchicago.edu/books/lsi/lsi.php?volume=1-1&pages=550#page/059/mode/1up
14,Srinagariya,,,,srin1238,1903,grierson1903lsi;llmap,features,feature,lsi-v9-4-115,
15,Tehri,,,,tehr1243,1903,grierson1903lsi;llmap,features,feature,lsi-v9-4-115,
16,Rathi,,,,rath1241,1903,grierson1903lsi;llmap,features,feature,lsi-v9-4-115,
17,Kumauni,,,,kuma1273,1903,grierson1903lsi;llmap,features,feature,lsi-v9-4-115,
18,Bengali (Western Dialect),,,,beng1280,1903,grierson1903lsi;llmap,features,feature,lsi-v5-2-109,
19,Mal-Paharia,,,,malp1246,1903,grierson1903lsi;llmap,features,feature,lsi-v5-2-109,
20,Bihari,,,,bhoj1244,1903,grierson1903lsi;llmap,features,feature,lsi-v5-2-109 lsi-v1-1-149,
21,Kanauji,,,,kana1281,1903,grierson1903lsi;llmap,features,feature,lsi-v9-1-018,
22,Braj Bhakha,,,,braj1242,1903,grierson1903lsi;llmap,features,feature,lsi-v9-1-018,
23,Bangaru,,,,hary1238,1903,grierson1903lsi;llmap,features,feature,lsi-v9-1-018,
24,Vernacular Hindostani,,,,hind1269,1903,grierson1903lsi;llmap,features,feature,lsi-v9-1-018,
25,Bundeli,,,,bund1253,1903,grierson1903lsi;llmap,features,feature,lsi-v9-1-018,
26,"Varhadi, Nagpuri, Desi, Konkan Standard",,,,mode1268,1903,grierson1903lsi;llmap,features,feature,lsi-v7-015,
27,Halbi,,,,halb1244,1903,grierson1903lsi;llmap,features,feature,lsi-v7-015,
28,Kashmiri,,,,kash1277,1903,grierson1903lsi;llmap,features,feature,lsi-v8-2-248 lsi-v8-2-015,
29,Kashtawari,,,,kish1245,1903,grierson1903lsi;llmap,features,feature,lsi-v8-2-248,
30,Poguli,,,,pogu1238,1903,grierson1903lsi;llmap,features,feature,lsi-v8-2-248,
31,North Assam Branch,,,,,1903,grierson1903lsi;llmap,features,feature,lsi-v1-1-079,
32,Lolo Group,,,,lolo1267,1903,grierson1903lsi;llmap,features,feature,lsi-v1-1-079,
33,Burma Group,,,,nucl1310,1903,grierson1903lsi;llmap,features,feature,lsi-v1-1-079,
34,East Tibetan,,,,east2771,1903,grierson1903lsi;llmap,features,feature,lsi-v1-1-079,
35,Naga Group,,,,aoic1235,1903,grierson1903lsi;llmap,features,feature,lsi-v1-1-079,
36,Kuki-Chin Group,,,,kuki1246,1903,grierson1903lsi;llmap,features,feature,lsi-v1-1-079,
37,Bara Group,,,,boro1284,1903,grierson1903lsi;llmap,features,feature,lsi-v1-1-079,
38,Kachin Group,,,,kach1280,1903,grierson1903lsi;llmap,features,feature,lsi-v1-1-079,
39,Himalayan Group,,,,hima1249,1903,grierson1903lsi;llmap,features,feature,lsi-v1-1-079,
40,Central Tibetan,,,,cent2346,1903,grierson1903lsi;llmap,features,feature,lsi-v1-1-079,
41,West Tibetan,,,,laha1255,1903,grierson1903lsi;llmap,features,feature,lsi-v1-1-079,
42,Kachin (fringe area),,,,kach1280,1903,grierson1903lsi;llmap,features,feature,lsi-v3-2-510,
43,Kachin,,,,kach1280,1903,grierson1903lsi;llmap,features,feature,lsi-v3-2-510,
44,Khamti,,,,kham1290,1903,grierson1903lsi;llmap,features,feature,lsi-v3-2-510 lsi-v2-070 lsi-v1-1-076,
45,Khas-Kura,,,,east1436,1903,grierson1903lsi;llmap,features,feature,lsi-v1-1-149,
46,Rajasthani,,,,raja1256,1903,grierson1903lsi;llmap,features,feature,lsi-v1-1-149,
47,Panjabi,,,,panj1256,1903,grierson1903lsi;llmap,features,feature,lsi-v1-1-149,
48,Central Pahari,,,,cent1977,1903,grierson1903lsi;llmap,features,feature,lsi-v1-1-149,
49,Western Pahari,,,,cent1977,1903,grierson1903lsi;llmap,features,feature,lsi-v1-1-149,
50,Western Hindi,,,,west2812,1903,grierson1903lsi;llmap,features,feature,lsi-v1-1-149,
51,Bhili,,,,bhil1251,1903,grierson1903lsi;llmap,features,feature,lsi-v1-1-149,
52,Gujarati,,,,guja1252,1903,grierson1903lsi;llmap,features,feature,lsi-v1-1-149,
53,Eastern Hindi,,,,east2726,1903,grierson1903lsi;llmap,features,feature,lsi-v1-1-149,
54,Bengali,,,,beng1280,1903,grierson1903lsi;llmap,features,feature,lsi-v1-1-149,
55,Assamese,,,,assa1263,1903,grierson1903lsi;llmap,features,feature,lsi-v1-1-149,
56,Oriya,,,,oriy1255,1903,grierson1903lsi;llmap,features,feature,lsi-v1-1-149,
57,Marathi,,,,mara1378,1903,grierson1903lsi;llmap,features,feature,lsi-v1-1-149,
58,Lahnda,,,,west2386,1903,grierson1903lsi;llmap,features,feature,lsi-v1-1-149,
59,Sindhi,,,,sind1272,1903,grierson1903lsi;llmap,features,feature,lsi-v1-1-149,
60,Standard Marwari,,,,marw1260,1903,grierson1903lsi;llmap,features,feature,lsi-v9-2-015,
61,Godwari,,,,godw1241,1903,grierson1903lsi;llmap,features,feature,lsi-v9-2-015,
62,Mewari,,,,mewa1249,1903,grierson1903lsi;llmap,features,feature,lsi-v9-2-015,
63,Malvi,,,,malv1243,1903,grierson1903lsi;llmap,features,feature,lsi-v9-2-015,
64,Nimari,,,,nima1243,1903,grierson1903lsi;llmap,features,feature,lsi-v9-2-015,
65,Dhatki,,,,dhat1238,1903,grierson1903lsi;llmap,features,feature,lsi-v9-2-015,
66,Mewati,,,,mewa1250,1903,grierson1903lsi;llmap,features,feature,lsi-v9-2-015,
67,"Bikaneri, Thali, Marwari",,,,marw1260,1903,grierson1903lsi;llmap,features,feature,lsi-v9-2-015,
68,Shekawati,,,,shek1243,1903,grierson1903lsi;llmap,features,feature,lsi-v9-2-015,
69,Harauti,,,,hado1235,1903,grierson1903lsi;llmap,features,feature,lsi-v9-2-015,
70,"Standard Jaipuri, Rjawati, etc.",,,,dhun1238,1903,grierson1903lsi;llmap,features,feature,lsi-v9-2-015,
71,North-Eastern Dialect,,,,paha1251,1903,grierson1903lsi;llmap,features,feature,lsi-v8-1-248,
72,Pothwari,,,,poth1238,1903,grierson1903lsi;llmap,features,feature,lsi-v8-1-248,
73,Pahari,,,,paha1252,1903,grierson1903lsi;llmap,features,feature,lsi-v8-1-248,
74,Puncchi,,,,punc1240,1903,grierson1903lsi;llmap,features,feature,lsi-v8-1-248,
75,Chhibhali,,,,chib1247,1903,grierson1903lsi;llmap,features,feature,lsi-v8-1-248,
76,North-Western Dialect,,,,sout2668,1903,grierson1903lsi;llmap,features,feature,lsi-v8-1-248,
77,Awankari,,,,avan1234,1903,grierson1903lsi;llmap,features,feature,lsi-v8-1-248,
78,Ghebi,,,,gheb1234,1903,grierson1903lsi;llmap,features,feature,lsi-v8-1-248,
79,North-Western Dialect,,,,nort2662,1903,grierson1903lsi;llmap,features,feature,lsi-v8-1-248,
80,Southern Dialect,,,,sera1259,1903,grierson1903lsi;llmap,features,feature,lsi-v8-1-248,
81,Thali,,,,thal1241,1903,grierson1903lsi;llmap,features,feature,lsi-v8-1-248,
82,Multani,,,,mult1243,1903,grierson1903lsi;llmap,features,feature,lsi-v8-1-248,
83,Bahawalpuri,,,,baha1254,1903,grierson1903lsi;llmap,features,feature,lsi-v8-1-248,
84,Juang,,,,juan1238,1903,grierson1903lsi;llmap,features,feature,lsi-v4-025,
85,Kharia,,,,khar1287,1903,grierson1903lsi;llmap,features,feature,lsi-v4-025 lsi-v1-1-059,
86,Kurku,,,,kork1243,1903,grierson1903lsi;llmap,features,feature,lsi-v4-025,
87,Savara,,,,sora1254,1903,grierson1903lsi;llmap,features,feature,lsi-v4-025,
88,Mundari,,,,mund1320,1903,grierson1903lsi;llmap,features,feature,lsi-v4-025,
89,Korwa,,,,korw1242,1903,grierson1903lsi;llmap,features,feature,lsi-v4-025,
90,Brijia,,,,brij1240,1903,grierson1903lsi;llmap,features,feature,lsi-v4-025,
91,Karmali,,,,karm1240,1903,grierson1903lsi;llmap,features,feature,lsi-v4-025,
92,Santali,,,,sant1410,1903,grierson1903lsi;llmap,features,feature,lsi-v4-025,
93,Birhar,,,,birh1242,1903,grierson1903lsi;llmap,features,feature,lsi-v4-025,
94,Kachchhi,,,,kach1277,1903,grierson1903lsi;llmap,features,feature,lsi-v8-1-019,
95,Lari,,,,vicc1238,1903,grierson1903lsi;llmap,features,feature,lsi-v8-1-019,
96,Vicholi,,,,,1903,grierson1903lsi;llmap,features,feature,lsi-v8-1-019,
97,Tharili,,,,thar1281,1903,grierson1903lsi;llmap,features,feature,lsi-v8-1-019,
98,Lasi,,,,lasi1242,1903,grierson1903lsi;llmap,features,feature,lsi-v8-1-019,
99,Siraiki,,,,sera1259,1903,grierson1903lsi;llmap,features,feature,lsi-v8-1-019,
100,Jaunsari,,,,jaun1243,1903,grierson1903lsi;llmap,features,feature,lsi-v9-4-388,
101,Sirmauri,,,,sirm1239,1903,grierson1903lsi;llmap,features,feature,lsi-v9-4-388,
102,Baghati,,,,bagh1249,1903,grierson1903lsi;llmap,features,feature,lsi-v9-4-388,
103,Kiuthali,,,,kiun1241,1903,grierson1903lsi;llmap,features,feature,lsi-v9-4-388,
104,Kului Group,,,,kull1236,1903,grierson1903lsi;llmap,features,feature,lsi-v9-4-388,
105, Inner Siraji,,,,inne1243,1903,grierson1903lsi;llmap,features,feature,lsi-v9-4-388,
106,Kullui,,,,kllu1238,1903,grierson1903lsi;llmap,features,feature,lsi-v9-4-388,
107,Mandeali,,,,mand1409,1903,grierson1903lsi;llmap,features,feature,lsi-v9-4-388,
108, Satlaj Group,,,,uppe1403,1903,grierson1903lsi;llmap,features,feature,lsi-v9-4-388,
109,Gadi,,,,gadd1242,1903,grierson1903lsi;llmap,features,feature,lsi-v9-4-388,
110,Chameali,,,,cham1307,1903,grierson1903lsi;llmap,features,feature,lsi-v9-4-388,
111,Churahi,,,,chur1258,1903,grierson1903lsi;llmap,features,feature,lsi-v9-4-388,
112,Pangwali,,,,pang1282,1903,grierson1903lsi;llmap,features,feature,lsi-v9-4-388,
113,Bhadrawahi,,,,bhad1241,1903,grierson1903lsi;llmap,features,feature,lsi-v9-4-388,
114,Padari,,,,pada1256,1903,grierson1903lsi;llmap,features,feature,lsi-v9-4-388,
115,Chutiya,,,,deor1238,1903,grierson1903lsi;llmap,features,feature,lsi-v3-2-010,
116,Dimasa,,,,dima1251,1903,grierson1903lsi;llmap,features,feature,lsi-v3-2-010,
117,Bara,,,,bodo1269,1903,grierson1903lsi;llmap,features,feature,lsi-v3-2-010,
118,Garo,,,,garo1247,1903,grierson1903lsi;llmap,features,feature,lsi-v3-2-010,
119,Rabha,,,,rabh1238,1903,grierson1903lsi;llmap,features,feature,lsi-v3-2-010,
120,Lalung,,,,tiwa1253,1903,grierson1903lsi;llmap,features,feature,lsi-v3-2-010 lsi-v3-2-203,
121,Hoja,,,,dima1251,1903,grierson1903lsi;llmap,features,feature,lsi-v3-2-010,
122,Achik Garo,,,,achi1255,1903,grierson1903lsi;llmap,features,feature,lsi-v3-2-010,
123,Tipura,,,,kokb1239,1903,grierson1903lsi;llmap,features,feature,lsi-v3-2-010,
124,Bara & Rabha,,,,bodo1279,1903,grierson1903lsi;llmap,features,feature,lsi-v3-2-010,
125,Mech or Bara,,,,bodo1269,1903,grierson1903lsi;llmap,features,feature,lsi-v3-2-010,
126,Abeng Garo,,,,aben1248,1903,grierson1903lsi;llmap,features,feature,lsi-v3-2-010,
127,Mech,,,,mech1238,1903,grierson1903lsi;llmap,features,feature,lsi-v3-2-010,
128,Mech & Garo,,,,bodo1279,1903,grierson1903lsi;llmap,features,feature,lsi-v3-2-010,
129,Southern Shan,,,,shan1277,1903,grierson1903lsi;llmap,features,feature,lsi-v2-070,
130,Northwestern Shan,,,,shan1277,1903,grierson1903lsi;llmap,features,feature,lsi-v2-070,
131,Northern Shan,,,,shan1277,1903,grierson1903lsi;llmap,features,feature,lsi-v2-070,
132,Phakas,,,,phak1238,1903,grierson1903lsi;llmap,features,feature,lsi-v1-1-076,
133,Aiton,,,,aito1238,1903,grierson1903lsi;llmap,features,feature,lsi-v1-1-076,
134,"Northern Shan, Southern Shan and Lü & Khün",,,,shan1276,1903,grierson1903lsi;llmap,features,feature,lsi-v1-1-076,
135,Karen,,,,kare1337,1903,grierson1903lsi;llmap,features,feature,lsi-v1-1-076,
136,Tamil,,,,tami1289,1903,grierson1903lsi;llmap,features,feature,lsi-v1-1-108,
137,Kanarese,,,,nucl1305,1903,grierson1903lsi;llmap,features,feature,lsi-v1-1-108,
138,Toda-Kota,,,,tami1292,1903,grierson1903lsi;llmap,features,feature,lsi-v1-1-108,
139,Tulu,,,,tulu1258,1903,grierson1903lsi;llmap,features,feature,lsi-v1-1-108,
140,Malayalam,,,,mala1464,1903,grierson1903lsi;llmap,features,feature,lsi-v1-1-108,
141,Maito,,,,saur1249,1903,grierson1903lsi;llmap,features,feature,lsi-v1-1-108,
142,Kui,,,,kuii1252,1903,grierson1903lsi;llmap,features,feature,lsi-v1-1-108,
143,Kurukh,,,,kuru1301,1903,grierson1903lsi;llmap,features,feature,lsi-v1-1-108,
144,Gondi,,,,nort2702,1903,grierson1903lsi;llmap,features,feature,lsi-v1-1-108,
145,Kolami,,,,nort2699,1903,grierson1903lsi;llmap,features,feature,lsi-v1-1-108,
146,Brahui,,,,brah1256,1903,grierson1903lsi;llmap,features,feature,lsi-v1-1-108,
147,Telugu,,,,telu1262,1903,grierson1903lsi;llmap,features,feature,lsi-v1-1-108,
148,"Sema, Thukumi & Yachumi",,,,anga1312,1903,grierson1903lsi;llmap,features,feature,lsi-v3-2-203,
149,Kezhama,,,,khez1235,1903,grierson1903lsi;llmap,features,feature,lsi-v3-2-203,
150,Maring,,,,mari1416,1903,grierson1903lsi;llmap,features,feature,lsi-v3-2-203,
151,Chakrima Angami,,,,chak1268,1903,grierson1903lsi;llmap,features,feature,lsi-v3-2-203,
152,Mongsen & Chungli Ao,,,,aona1235,1903,grierson1903lsi;llmap,features,feature,lsi-v3-2-203,
153,Lhota,,,,loth1237,1903,grierson1903lsi;llmap,features,feature,lsi-v3-2-203,
154,Rengma,,,,sout2732,1903,grierson1903lsi;llmap,features,feature,lsi-v3-2-203,
155,Sopvoma,,,,maon1238,1903,grierson1903lsi;llmap,features,feature,lsi-v3-2-203,
156,Tengima Angami,,,,teng1262,1903,grierson1903lsi;llmap,features,feature,lsi-v3-2-203,
157,Maram,,,,mara1379,1903,grierson1903lsi;llmap,features,feature,lsi-v3-2-203,
158,Kabui,,,,rong1266,1903,grierson1903lsi;llmap,features,feature,lsi-v3-2-203,
159,Engkhang Mikir,,,,karb1241,1903,grierson1903lsi;llmap,features,feature,lsi-v3-2-203,
160,Empeo & Kuki,,,,zeme1240,1903,grierson1903lsi;llmap,features,feature,lsi-v3-2-203,
161,Mikir,,,,karb1241,1903,grierson1903lsi;llmap,features,feature,lsi-v3-2-203,
162,Amri Mikir,,,,amri1238,1903,grierson1903lsi;llmap,features,feature,lsi-v3-2-203,
163,Sarikoli,,,,sari1246,1903,grierson1903lsi;llmap,features,feature,lsi-v10-472,
164,Wakhi,,,,wakh1245,1903,grierson1903lsi;llmap,features,feature,lsi-v10-472,
165,Munjani,,,,munj1244,1903,grierson1903lsi;llmap,features,feature,lsi-v10-472,
166,Ishkashmi,,,,ishk1246,1903,grierson1903lsi;llmap,features,feature,lsi-v10-472,
167,Shighni,,,,shug1248,1903,grierson1903lsi;llmap,features,feature,lsi-v10-472,
168,Ormuri,,,,ormu1247,1903,grierson1903lsi;llmap,features,feature,lsi-v10-020,
169,Pakhto,,,,nort2646,1903,grierson1903lsi;llmap,features,feature,lsi-v10-020,
170,Pashto,,,,nucl1276,1903,grierson1903lsi;llmap,features,feature,lsi-v10-020,
